"","sample","median.bin.age","lowerCI","median","upperCI"
"1","baseline (taphonomic loss) replicates",0.25,0.00327438186813187,0.00893882646691635,0.0201098901098901
"2","baseline (taphonomic loss) replicates",0.35,0.00548086142045874,0.0134078379674017,0.0267194788800457
"3","baseline (taphonomic loss) replicates",0.45,0.00325200123152709,0.0133495025491264,0.027078125
"4","baseline (taphonomic loss) replicates",0.55,0.00783187995556164,0.0178776529338327,0.0292206382151388
"5","baseline (taphonomic loss) replicates",0.65,0.00879932567432568,0.0219102471802256,0.0349237017916793
"6","baseline (taphonomic loss) replicates",0.75,0.00651318167166453,0.015102498696656,0.0233187059025985
"7","baseline (taphonomic loss) replicates",0.85,0.00673232928893905,0.0152517029406878,0.0260053759331448
"8","baseline (taphonomic loss) replicates",0.95,0.00445724485635584,0.0130589238347859,0.0235170232102908
"9","baseline (taphonomic loss) replicates",1.05,0.00448725055432373,0.0113257400851675,0.0209801762114537
"10","baseline (taphonomic loss) replicates",1.15,0.00546838096362777,0.0110873466578165,0.0199718977027292
"11","baseline (taphonomic loss) replicates",1.25,0.00332424480685824,0.0132745961820852,0.0253790569237682
"12","baseline (taphonomic loss) replicates",1.35,0.00543956043956044,0.0110994490928264,0.0213154761904762
"13","baseline (taphonomic loss) replicates",1.45,0.00423159993354378,0.0111612147786442,0.0211276350412441
"14","baseline (taphonomic loss) replicates",1.55,0.00331413628393494,0.0112108186914009,0.0187546594374788
"15","baseline (taphonomic loss) replicates",1.65,0.00325674515929955,0.00993894993894994,0.0158389766741911
"16","baseline (taphonomic loss) replicates",1.75,0.00329977628635347,0.0090498200785205,0.0187775330396476
"17","baseline (taphonomic loss) replicates",1.85,0.00223929073033708,0.0112361820210988,0.021620670995671
"18","baseline (taphonomic loss) replicates",1.95,0.00558319957196362,0.0111607142857143,0.0179605780276921
"19","baseline (taphonomic loss) replicates",2.05,0.00322182137516911,0.0112739714884184,0.0190604144713734
"20","baseline (taphonomic loss) replicates",2.15,0.00104395604395604,0.00774381868131868,0.0170204951807661
"21","baseline (taphonomic loss) replicates",2.25,0.0076509690035608,0.013590888102201,0.0198030933823885
"22","baseline (taphonomic loss) replicates",2.35,0.00226425016674363,0.00665927568366593,0.0133082006099627
"23","baseline (taphonomic loss) replicates",2.45,0.00220960274280356,0.011062163485071,0.0180823680823681
"24","baseline (taphonomic loss) replicates",2.55,0.00671787219101124,0.0155048076923077,0.0245449279541771
"25","baseline (taphonomic loss) replicates",2.65,0.00102591792656587,0.0100111124340199,0.0180187851123595
"26","baseline (taphonomic loss) replicates",2.75,0.00325978708791209,0.00872494077125812,0.0124693542949956
"27","baseline (taphonomic loss) replicates",2.85,0.00331101190476191,0.0130728882348753,0.0191573033707865
"28","baseline (taphonomic loss) replicates",2.95,0.00221100679292595,0.00665927568366593,0.0155452650563226
"29","baseline (taphonomic loss) replicates",3.05,0.00102370689655172,0.00876409887209023,0.0178971028971029
"30","baseline (taphonomic loss) replicates",3.15,0.00102591792656587,0.0089035964035964,0.0169778847868735
"31","baseline (taphonomic loss) replicates",3.25,0.00551282051282051,0.01078749906904,0.0167718120805369
"32","baseline (taphonomic loss) replicates",3.35,0.00107709750566893,0.00670391898370086,0.0133400109928257
"33","baseline (taphonomic loss) replicates",3.45,0.00222693452380952,0.0122007706787295,0.0158579160681305
"34","baseline (taphonomic loss) replicates",3.55,0,0.00906012723168479,0.0158401826484018
"35","baseline (taphonomic loss) replicates",3.65,0.00441920548560712,0.00787337662337662,0.0179719101123595
"36","baseline (taphonomic loss) replicates",3.75,0.00442822802197802,0.0100376192730262,0.0214026009293344
"37","baseline (taphonomic loss) replicates",3.85,0.00327301366804753,0.00672649121484051,0.014507780286668
"38","baseline (taphonomic loss) replicates",3.95,0.00104395604395604,0.00774431196189236,0.0145973154362416
"39","baseline (taphonomic loss) replicates",4.05,0.00332607001133787,0.00896865495312068,0.0132637362637363
"40","baseline (taphonomic loss) replicates",4.15,0.00104625550660793,0.00552284584356539,0.011387041708069
"41","baseline (taphonomic loss) replicates",4.25,0.00106263982102908,0.00881057268722467,0.0132208930647036
"42","baseline (taphonomic loss) replicates",4.35,0.00217542156119742,0.00772101497186348,0.0132482151994347
"43","baseline (taphonomic loss) replicates",4.45,0,0.00556427699284842,0.0135462860310421
"44","baseline (taphonomic loss) replicates",4.55,0.00105555555555556,0.00660066805441255,0.0100581698211495
"45","baseline (taphonomic loss) replicates",4.65,0.00221648597487524,0.00774431196189236,0.0176278574196048
"46","baseline (taphonomic loss) replicates",4.75,0.00221194322075379,0.00549934646850946,0.0124398255002917
"47","baseline (taphonomic loss) replicates",4.85,0,0.0045300636158424,0.0107880809190437
"48","baseline (taphonomic loss) replicates",4.95,0.00322371085313175,0.00677287181996086,0.0156682166041853
"49","baseline (taphonomic loss) replicates",5.05,0.00104395604395604,0.00666748981355723,0.0140796063901095
"50","baseline (taphonomic loss) replicates",5.15,0.00104395604395604,0.00894043373590258,0.0192971949221949
"51","baseline (taphonomic loss) replicates",5.25,0,0.0022650318079212,0.00879120879120879
"52","baseline (taphonomic loss) replicates",5.35,0.00104625550660793,0.00677214706107162,0.014616008991009
"53","baseline (taphonomic loss) replicates",5.45,0.00455531340805313,0.0110500610500611,0.0179203451043339
"54","baseline (taphonomic loss) replicates",5.55,0.00104395604395604,0.00871525882325018,0.0133245129054194
"55","baseline (taphonomic loss) replicates",5.65,0.00106981981981982,0.00880089073921673,0.0148025603760166
